host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,longitude,latitude,price,host_is_superhost,instant_bookable
1,Frogner,Entire rental unit,Entire home/apt,3,2,3,3,38,4.84,4.94,4.97,4.93,4.94,4.97,4.83,10.72455,59.91201,1999.00,false,false
2,Sagene,Entire rental unit,Entire home/apt,3,1,1,28,9,4.78,4.75,4.75,5,5,4.5,4.75,10.77397,59.94059,1399.00,false,false
1,Gamle Oslo,Private room in rental unit,Private room,3,1,2,4,50,4.73,4.67,4.79,4.98,4.93,4.67,4.81,10.77987,59.90795,501.00,false,false
8,Gamle Oslo,Entire rental unit,Entire home/apt,4,2,3,5,63,4.73,4.75,4.6,4.69,4.81,4.42,4.66,10.77232,59.91074,821.00,true,false
1,Grünerløkka,Entire rental unit,Entire home/apt,4,1,4,3,20,4.85,4.65,4.8,4.65,4.75,4.7,4.58,10.75521,59.91818,1302.00,false,false
0,Gamle Oslo,Entire rental unit,Entire home/apt,5,3,4,4,140,4.57,4.64,4.5,4.72,4.89,4.43,4.61,10.78589,59.90703,750.00,false,false
8,Gamle Oslo,Private room in rental unit,Private room,1,1,2,4,230,4.82,4.85,4.72,4.86,4.85,4.6,4.75,10.77205,59.91253,364.00,true,false
2,St. Hanshaugen,Private room in rental unit,Private room,2,1,1,5,41,4.9,4.83,5,4.97,4.95,4.87,4.82,10.74787,59.92398,802.00,false,false
1,Sagene,Private room in rental unit,Private room,1,1,1,2,19,4.88,4.69,4.69,4.81,4.81,4.63,4.69,10.76554,59.9375,350.00,false,false
7,Gamle Oslo,Entire rental unit,Entire home/apt,5,2,3,1,242,4.72,4.8,4.68,4.91,4.9,4.73,4.67,10.76367,59.91121,1714.00,true,false
2,Nordstrand,Entire rental unit,Entire home/apt,6,2,3,1,261,4.95,4.94,4.98,4.96,4.98,4.85,4.86,10.7778,59.84704,1950.00,true,false
1,Sagene,Entire rental unit,Entire home/apt,2,1,1,14,10,4.7,4.6,4.5,5,4.8,4.8,4.7,10.75375,59.93061,672.00,false,false
1,Gamle Oslo,Private room in rental unit,Private room,1,1,1,3,100,4.85,4.89,4.9,4.91,4.93,4.84,4.77,10.76147,59.91826,500.00,true,false
2,Grünerløkka,Private room in rental unit,Private room,1,1,1,5,107,4.75,4.69,4.73,4.89,4.9,4.83,4.71,10.74995,59.92085,446.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,3,1,1,5,6,5,4.83,4.83,4.83,5,5,4.83,10.76255,59.92648,750.00,false,false
1,Nordstrand,Entire rental unit,Entire home/apt,2,1,1,2,106,4.74,4.8,4.84,4.87,4.91,4.58,4.74,10.76879,59.88523,809.00,true,false
2,Grünerløkka,Private room in loft,Private room,2,1,1,20,11,4.82,4.91,4.64,4.91,4.91,4.91,4.36,10.75761,59.92389,1500.00,false,false
3,Vestre Aker,Private room in residential home,Private room,2,1,1,2,111,4.81,4.84,4.83,4.88,4.89,4.66,4.76,10.69927,59.9373,486.00,false,false
1,Nordstrand,Entire residential home,Entire home/apt,6,3,4,3,1,0,4.93,4.84,4.96,5,4.91,4.83,10.78977,59.88321,1500.00,false,false
5,Grünerløkka,Entire rental unit,Entire home/apt,4,1,1,2,546,4.51,4.54,4.53,4.72,4.63,4.72,4.53,10.7692,59.92366,750.00,false,false
1,Nordre Aker,Entire rental unit,Entire home/apt,2,1,1,7,8,4.71,4.71,4.57,5,5,4.57,4.43,10.77889,59.96531,590.00,false,false
1,Grünerløkka,Entire loft,Entire home/apt,2,1,1,1,17,4.88,4.94,4.81,5,5,4.94,4.81,10.75942,59.92132,1328.00,false,false
2,Gamle Oslo,Private room in loft,Private room,2,1,2,1,276,4.89,4.89,4.97,4.95,4.96,4.76,4.81,10.76344,59.91459,645.00,true,false
3,St. Hanshaugen,Entire rental unit,Entire home/apt,8,4,6,2,187,4.33,4.57,3.86,4.85,4.88,4.75,4.36,10.74114,59.92522,935.00,false,false
1,Frogner,Private room in rental unit,Private room,1,1,1,2,158,4.77,4.85,4.92,4.79,4.88,4.94,4.88,10.72386,59.92616,499.00,false,false
1,Gamle Oslo,Private room in rental unit,Private room,2,1,3,2,633,4.63,4.71,4.67,4.82,4.81,4.66,4.69,10.760248,59.912159,457.00,true,true
2,Frogner,Private room in condominium (condo),Private room,2,1,1,1,894,4.87,4.91,4.81,4.9,4.93,4.92,4.86,10.71428,59.91755,301.00,false,false
